34,Inc5000 Company List,34,25357,34,140,Centric Digital,New York,New York City,6898.42,18045419,Business Products & Services,1,NY
41,Inc5000 Company List,41,26117,41,24,ReviMedia,New York,New York City,5817.13,5963105,Advertising & Marketing,1,NY
49,Inc5000 Company List,49,25654,49,30,Adore Me,New York,New York City,5505.55,5637838,Retail,1,NY
54,Inc5000 Company List,54,25453,54,46,Crowdtap,New York,New York City,5217.2,6261593,Advertising & Marketing,1,NY
65,Inc5000 Company List,65,26157,65,143,Tough Mudder,Brooklyn,New York City,4737.51,107900476,Health,1,NY
76,Inc5000 Company List,76,22998,76,126,Regal Wings,Brooklyn,New York City,4146.48,54355000,Travel & Hospitality,2,NY
84,Inc5000 Company List,84,25545,84,13,BuyBackWorld,Long Island City,New York City,4011.21,4139786,Consumer Products & Services,1,NY
99,Inc5000 Company List,99,26456,99,108,Global Energy Efficiency,Bronx,New York City,3588.58,12860765,Energy,1,NY
115,Inc5000 Company List,115,26395,115,87,Integral Ad Science,New York,New York City,3231.69,23442470,Advertising & Marketing,1,NY
121,Inc5000 Company List,121,26277,121,30,SeatGeek,New York,New York City,3039.13,12274000,Consumer Products & Services,1,NY
128,Inc5000 Company List,128,24789,128,64,Fueled,New York,New York City,2916.74,6486000,Advertising & Marketing,1,NY
130,Inc5000 Company List,130,24852,130,6,CPA Trend,Howard Beach,New York City,2842.94,5826876,Advertising & Marketing,1,NY
145,Inc5000 Company List,145,25620,145,160,MyClean,New York,New York City,2646.4,4399793,Consumer Products & Services,1,NY
204,Inc5000 Company List,204,23274,204,32,LocalResponse,New York,New York City,2152.89,9565336,Advertising & Marketing,2,NY
206,Inc5000 Company List,206,23044,206,84,Novisync Solutions,Fishkill,Poughkeepsie-Newburgh-Middletown NY,2143.79,8517670,IT Services,2,NY
214,Inc5000 Company List,214,25983,214,7,IDsecurityonline.com,New York,New York City,2093.03,4898356,Security,1,NY
236,Inc5000 Company List,236,26201,236,7,Eau De Luxe,Long Island City,New York City,1926.82,2540031,Retail,1,NY
238,Inc5000 Company List,238,25447,238,80,Avani Technology Solutions,Rochester,Rochester NY,1915.79,7333811,IT Services,1,NY
241,Inc5000 Company List,241,25276,241,10,Allurez,Great Neck,New York City,1895.02,3681934,Retail,1,NY
252,Inc5000 Company List,252,26217,252,54,H.Bloom,New York,New York City,1817.27,7209607,Consumer Products & Services,1,NY
255,Inc5000 Company List,255,25558,255,42,Solve Media,New York,New York City,1798.09,13031655,Advertising & Marketing,1,NY
262,Inc5000 Company List,262,23427,262,16,Optimatic Media,New York,New York City,1753.33,34313968,Advertising & Marketing,2,NY
276,Inc5000 Company List,276,25951,276,41,Accordant Media,New York,New York City,1663.01,27119347,Advertising & Marketing,1,NY
278,Inc5000 Company List,278,26075,278,268,Bareburger,Long Island City,New York City,1652.36,31150000,Food & Beverage,1,NY
292,Inc5000 Company List,292,23511,292,5,UpSurge Media Group,New York,New York City,1560.13,5577000,Advertising & Marketing,2,NY
300,Inc5000 Company List,300,24920,300,7,Noi Solutions,New York,New York City,1519.48,22833994,Business Products & Services,1,NY
304,Inc5000 Company List,304,25708,304,25,SiteCompli,New York,New York City,1512.31,5126072,Software,1,NY
321,Inc5000 Company List,321,25526,321,65,IIT,Hicksville,New York City,1446.16,18413056,IT Services,1,NY
327,Inc5000 Company List,327,21109,327,128,Refinery29,New York,New York City,1426.61,29142406,Media,3,NY
348,Inc5000 Company List,348,25078,348,5,The Participation Agency,New York,New York City,1351.79,2163161,Advertising & Marketing,1,NY
350,Inc5000 Company List,350,21516,350,18,BulbAmerica,Long Island City,New York City,1349.07,8958633,Retail,3,NY
352,Inc5000 Company List,352,24820,352,28,PureWow,New York,New York City,1335.29,3315511,Media,1,NY
382,Inc5000 Company List,382,25455,382,35,Dom & Tom,New York,New York City,1232.43,4051216,IT Services,1,NY
389,Inc5000 Company List,389,24829,389,4,New Tradition Media,New York,New York City,1208.58,2077365,Advertising & Marketing,1,NY
409,Inc5000 Company List,409,25142,409,17,Imagine Staffing Technology,Buffalo,Buffalo-Niagara Falls NY,1152.94,7596484,Human Resources,1,NY
420,Inc5000 Company List,420,26418,420,61,Transactis,New York,New York City,1125.77,5485216,Business Products & Services,1,NY
425,Inc5000 Company List,425,25117,425,45,Latin Markets,New York,New York City,1115.49,5864256,Financial Services,1,NY
428,Inc5000 Company List,428,25480,428,140,myThings,New York,New York City,1100.46,44707400,Advertising & Marketing,1,NY
432,Inc5000 Company List,432,25124,432,52,Fluent (New York NY),New York,New York City,1094.33,52688771,Advertising & Marketing,1,NY
436,Inc5000 Company List,436,26001,436,35,Perseus Telecom,New York,New York City,1089.01,22710000,Telecommunications,1,NY
439,Inc5000 Company List,439,25154,439,4,ToiletTree Products,Upper Nyack,New York City,1079.85,3353510,Consumer Products & Services,1,NY
472,Inc5000 Company List,472,25121,472,5,Marie Forleo International,New York,New York City,998.04,11930257,Education,1,NY
478,Inc5000 Company List,478,23407,478,81,Hipercept,New York,New York City,988.45,10536550,Real Estate,2,NY
480,Inc5000 Company List,480,25491,480,22,Nimbo,New York,New York City,987.3,4575693,IT Services,1,NY
497,Inc5000 Company List,497,25343,497,14,Petroleum Kings,New Rochelle,New York City,961.94,2623000,Energy,1,NY
498,Inc5000 Company List,498,25420,498,26,Fino Consulting,New York,New York City,956.15,6025002,Software,1,NY
505,Inc5000 Company List,505,26241,505,45,Pixafy,New York,New York City,934.88,4000194,Software,1,NY
507,Inc5000 Company List,507,25569,507,12,Amicus Creative Media,Port Washington,New York City,932.23,3107000,Advertising & Marketing,1,NY
541,Inc5000 Company List,541,25251,541,16,Social Media Link,New York,New York City,885.37,4220122,Advertising & Marketing,1,NY
554,Inc5000 Company List,554,25723,554,10,Upstate Coin & Gold,Fayetteville,Syracuse NY,867.43,57475696,Financial Services,1,NY
569,Inc5000 Company List,569,25400,569,8,Full Circle Home,New York,New York City,839.38,3670910,Consumer Products & Services,1,NY
570,Inc5000 Company List,570,23523,570,52,Adafruit,New York,New York City,839.16,22058337,Manufacturing,2,NY
597,Inc5000 Company List,597,26281,597,30,Kettle,New York,New York City,795.55,6003584,Advertising & Marketing,1,NY
